parallelism,concurrency,throughput,energy
1,1,303.66089999999997,14377.141905600001
2,1,598.0228,7469.339026699998
4,1,1160.1826999999998,4237.313113444445
8,1,2322.8649,2590.214499555556
16,1,2459.1634999999997,3902.3665419999998
1,2,597.7468999999999,7557.9424988
2,2,1173.3864,4131.792162899999
4,2,2208.6672000000003,2771.8818199999996
8,2,4266.4952,1793.4785812999999
16,2,4586.5455999999995,2860.2687335
1,4,1166.4221,4307.9857428000005
2,4,2251.7491,2657.0112949999993
4,4,4266.515,1788.9681000000003
8,4,4728.7204,2795.6149806000003
16,4,6666.292875000001,2511.5977575
1,8,2208.6679,2741.3405287
2,8,4187.477222222222,1773.7486465555555
4,8,5333.1156,2174.732238
8,8,5874.215086956521,1884.4767193478262
16,8,6577.0451,2352.3679952
1,16,4266.5011,1778.6665588
2,16,5688.6504,2164.2884169
4,16,7110.7329,2268.7986413
8,16,6577.3337,2350.9231931000004
16,16,4577.574124999999,2522.075528875
